plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,Log_sourceCardinalitySum
Job0v0,1GB,12.0,3125607.831045889,3031717.141630358,0.48627533333333306,0.5376477999999998,3750607.5,6001215.0,6001215.0,-1.9499680999918776,-0.048728156590190065,134427216.9725507,261469844.70388687,4.86275333333333,600121500.0,0.9357844166666667,0.48627533333333306,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,0.0,0.0,0.0,0.0,0.48627533333333306,0.0,0.48627533333333306,0.48627533333333306,"['lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.830575565385956
Job0v1,1GB,12.0,762500.2916666666,771398.9453938453,0.25,0.32500000000000007,825000.0,1500000.0,1500000.0,-1.9900633264216017,-0.008193289968651095,33600000.5,65354226.77991073,2.5,150000000.0,0.90625,0.25,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,"['orders', 'customer']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,14.316285845876763
Job0v2,1GB,12.0,200000.33104588892,416151.0227376913,0.48627533333333306,0.5376477999999998,150000.0,150000.0,1500000.0,6.470772879450928,2.8408449021469617,3360000.9725506664,6535422.0851127235,4.86275333333333,15000000.0,0.9357844166666667,0.48627533333333306,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,150000.0,0.0,150000.0,150000.0,150000.0,150000.0,0.0,0.0,0.0,0.0,0.48627533333333306,0.0,0.48627533333333306,0.48627533333333306,"['customer', 'orders']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,14.316285845876763
Job0v3,1GB,12.0,416667.0416666667,404144.76666717336,0.75,0.775,500000.0,800000.0,800000.0,-1.949952250970732,-0.04874655333743851,17920001.5,34855586.823348865,7.5,80000000.0,0.96875,0.75,1.0,1000000.0,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,800000.0,0.0,800000.0,800000.0,800000.0,800000.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,"['partsupp', 'part']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,13.815510557964274
Job0v4,1GB,12.0,166667.0,222927.8997457372,0.5,0.55,200000.0,200000.0,800000.0,3.615721861272416,1.9807458129202684,4480001.0,8713896.30418018,5.0,20000000.0,0.9375,0.5,1.0,1000000.0,160000000000.0,500000.0,424264.0687119285,200000.0,800000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,"['part', 'partsupp']",0.0,0.0,0.0,0.0,200000.0,800000.0,0.0,13.815510557964274
Job100v0,1GB,11.0,7277.272727272727,4092.1335288797477,25.0,25.0,10000.0,10000.0,10000.0,-0.6576922115211503,-0.9875146013327982,368337.5,491134.38429568335,25.0,1000000.0,0.9444444444444444,0.5,1.0,10025.0,250000.0,5012.5,7053.390142335811,25.0,10000.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,5000.0,"['nation', 'supplier']",0.0,0.0,25.0,0.0,0.0,0.0,10000.0,9.21283725217477
Job100v1,1GB,11.0,3764354.3181818184,2581381.6800489426,800000.0,800000.0,6001215.0,6001215.0,6001215.0,-1.9238033211912025,-0.2085540931537197,126689346.66666667,234086376.67316905,6001215.0,600121500.0,0.9166666666666666,0.25,1.0,6801215.0,4800972000000.0,3400607.5,3677814.396909189,800000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,0.0,0.0,0.0,0.0,1500303.75,0.0,1500303.75,1500303.75,"['lineitem', 'partsupp']",0.0,6001215.0,0.0,0.0,0.0,800000.0,0.0,15.732611830656184
Job100v2,1GB,11.0,4364464.7727272725,2270898.7811426683,1500000.0,1500000.0,6001215.0,6001215.0,6001215.0,-1.6785714145141368,-0.5669467150926554,221294752.5,294518116.7592254,1500000.0,600121500.0,0.9166666666666666,0.25,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,0.0,0.0,0.0,0.0,1500303.75,0.0,1500303.75,1500303.75,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.830575565385956
Job100v3,1GB,11.0,1186363.6363636365,533310.8423288002,150000.0,150000.0,1500000.0,1500000.0,1500000.0,0.2293958425701934,-1.3902886610665492,55275000.0,73648243.35990642,150000.0,150000000.0,0.9722222222222222,0.75,1.0,1650000.0,225000000000.0,825000.0,954594.1546018391,150000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,1500000.0,1500000.0,0.0,0.0,0.0,0.0,1125000.0,0.0,1125000.0,1125000.0,"['customer', 'orders']",150000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,14.316285845876763
Job100v4,1GB,11.0,511818.1818181818,357598.047584664,10000.0,10000.0,800000.0,800000.0,800000.0,-1.4397903152448395,-0.5465635826748735,15116666.666666666,31922432.029321745,100000.0,80000000.0,0.9444444444444444,0.5,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,800000.0,0.0,800000.0,800000.0,800000.0,800000.0,0.0,0.0,0.0,0.0,400000.0,0.0,400000.0,400000.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,13.604789526648622
