plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,Log_sourceCardinalitySum,netRunTime,Log_netRunTime,pred_Log_netRunTime,unc_low_Log_netRunTime,unc_up_Log_netRunTime
Job0v0,1GB,11.0,2359533.3636363638,2411814.983835074,1.0,1.0,1500000.0,4500911.25,6001215.0,-1.714740367851139,0.20936582625527925,0.79,0.2,1.0,7651215.0,1.350273375e+18,2550405.0,3063770.9186678757,150000.0,6001215.0,4500911.25,0.0,4500911.25,4500911.25,9001822.5,20258202080376.562,5.0,0.0,5.0,5.0,2400455.625,2970492.832037856,300000.0,4500911.25,"['lineitem', 'orders', 'customer']",150000.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.850375016721008,2937.286,7.985241304734817,,,
Job0v1,1GB,11.0,2346807.909090909,2424972.3465324333,1.0,1.0,1500000.0,4500911.25,6001215.0,-1.716928381864385,0.20643379473169363,0.79,0.2,1.0,7511215.0,9.0018225e+16,2503738.3333333335,3119179.744004557,10000.0,6001215.0,4500911.25,0.0,4500911.25,4500911.25,9001822.5,20258202080376.562,25.0,0.0,25.0,25.0,2400455.625,2970492.832037856,300000.0,4500911.25,"['orders', 'lineitem', 'supplier']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,10000.0,15.831907794942268,,,7.823004319256062,7.707764031523159,8.099788943115545
Job0v2,1GB,11.0,25448.09090909088,43667.6845423582,1.0,1.0,10000.0,29967.9999999999,150000.0,4.345469080776612,2.325871958993386,0.6799573333333331,0.199786666666666,1.0,160025.0,37500000000.0,53341.666666666664,83857.02241514025,25.0,150000.0,29967.9999999999,0.0,29967.9999999999,29967.9999999999,59935.9999999998,898081023.9999942,25.0,0.0,25.0,25.0,14986.49999999995,21187.040484692454,5.0,29967.9999999999,"['customer', 'nation', 'supplier']",150000.0,0.0,25.0,0.0,0.0,0.0,10000.0,11.983085332010203,350.861,5.860390133636634,,,
Job0v3,1GB,11.0,219130.18181818182,274208.2708875931,1.0,1.0,10000.0,400000.0,800000.0,-0.4404742936089483,0.8035482097630329,0.708,0.04,1.0,810025.0,200000000000.0,270008.3333333333,459013.34425954695,25.0,800000.0,400000.0,0.0,400000.0,400000.0,800000.0,160000000000.0,5.0,0.0,5.0,5.0,200200.0,282559.8697621444,400.0,400000.0,"['partsupp', 'supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,800000.0,10000.0,13.604820390369863,,,5.1415033638248175,4.449667188856337,6.106566994689231
Job0v4,1GB,11.0,2337169.5454545454,2434161.651812385,1.0,1.0,1500000.0,4500911.25,6001215.0,-1.7203440188136887,0.2062508242590226,0.754,0.02,1.0,7701215.0,1.8003645e+18,2567071.6666666665,3044257.762642371,200000.0,6001215.0,4500911.25,0.0,4500911.25,4500911.25,9001822.5,20258202080376.562,3.0,0.0,3.0,3.0,2252455.625,3179796.439269074,4000.0,4500911.25,"['part', 'lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,200000.0,0.0,0.0,15.856888666583824,,,6.848079635250832,6.120879888534546,7.969435557723045
Job100v0,1GB,8.0,1880122.0,2625473.5256229765,1.0,1.0,769271.4999999998,6001215.0,6001215.0,-0.8493527282199813,0.9593704096092031,0.6752317777777778,0.025695333333333,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,38542.9999999995,0.0,38542.9999999995,38542.9999999995,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.830575565385956,,,7.578915767628025,6.908912181854248,8.25420512093438
Job100v1,1GB,8.0,20241.124999999985,52499.16044345716,1.0,1.0,15.0,49163.59999999994,150000.0,3.112830899581028,2.2560767477810604,0.6798844444444443,0.039653333333333006,1.0,150025.0,3750000.0,75012.5,106048.33950845247,25.0,150000.0,5947.999999999951,0.0,5947.999999999951,5947.999999999951,5947.999999999951,5947.999999999951,5.0,0.0,5.0,5.0,5947.999999999951,0.0,5947.999999999951,5947.999999999951,"['customer', 'nation']",150000.0,0.0,25.0,0.0,0.0,0.0,0.0,11.918557225857713,26.231,3.26694191743724,,,
Job100v2,1GB,8.0,151253.5,276993.8190465628,1.0,1.0,5012.5,379999.9999999999,800000.0,1.9820319851872785,1.8440244351397177,0.75,0.25,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,200000.0,0.0,200000.0,200000.0,200000.0,200000.0,25.0,0.0,25.0,25.0,200000.0,0.0,200000.0,200000.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,13.604789526648622,,,5.3213456407493815,4.4709274221038084,6.054954150627399
Job100v3,1GB,8.0,1719054.125,2690737.7181471167,1.0,1.0,125000.0,6001215.0,6001215.0,-0.783090059388349,1.0476414972156631,0.75,0.25,1.0,6201215.0,1200243000000.0,3100607.5,4102078.4656211175,200000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,50000.0,0.0,50000.0,50000.0,"['part', 'lineitem']",0.0,6001215.0,0.0,0.0,200000.0,0.0,0.0,15.640255798558085,,,7.834846523319425,7.561748174616481,8.258117198944092
Job100v4,1GB,8.0,1501605.0,2777221.6976247015,1.0,1.0,203.5,6001215.0,6001215.0,-0.666670730520821,1.154695274703077,0.68,0.04,1.0,6011215.0,60012150000.0,3005607.5,4236428.754046561,10000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,7.0,0.0,7.0,7.0,400.0,0.0,400.0,400.0,"['supplier', 'lineitem']",0.0,6001215.0,0.0,0.0,0.0,0.0,10000.0,15.609137449140757,,,6.555434507812177,6.032464540572393,7.1541134234150014
