plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,Log_sourceCardinalitySum
Job0v0,5GB,11.0,11795380.636363637,12056456.681848459,1.0,1.0,7500000.0,22499846.25,29999795.0,-1.7147266243326085,0.20933690883412343,0.79,0.2,1.0,38249795.0,1.68748846875e+20,12749931.666666666,15315317.945247117,750000.0,29999795.0,22499846.25,0.0,22499846.25,22499846.25,44999692.5,506243081273639.06,5.0,0.0,5.0,5.0,11999923.125,14849133.687249891,1500000.0,22499846.25,"['lineitem', 'orders', 'customer']",750000.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.45964875874533
Job0v1,5GB,11.0,11731746.090909092,12122252.24692194,1.0,1.0,7500000.0,22499846.25,29999795.0,-1.7169156211609622,0.2064037196621307,0.79,0.2,1.0,37549795.0,1.1249923125e+19,12516598.333333334,15592377.922049232,50000.0,29999795.0,22499846.25,0.0,22499846.25,22499846.25,44999692.5,506243081273639.06,25.0,0.0,25.0,25.0,11999923.125,14849133.687249891,1500000.0,22499846.25,"['orders', 'lineitem', 'supplier']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,50000.0,17.44117847677203
Job0v2,5GB,11.0,127219.7272727271,218351.70129774162,1.0,1.0,50000.0,149839.9999999995,750000.0,4.344699314910261,2.32563488565646,0.6799573333333331,0.199786666666666,1.0,800025.0,937500000000.0,266675.0,419316.9050670388,25.0,750000.0,149839.9999999995,0.0,149839.9999999995,149839.9999999995,299679.999999999,22452025599.99985,25.0,0.0,25.0,25.0,74922.49999999975,105949.34455908599,5.0,149839.9999999995,"['customer', 'nation', 'supplier']",750000.0,0.0,25.0,0.0,0.0,0.0,50000.0,13.592398256161793
Job0v3,5GB,11.0,1095639.2727272727,1371051.582738089,1.0,1.0,50000.0,2000000.0,4000000.0,-0.44050110081919014,0.8035381733863615,0.708,0.04,1.0,4050025.0,5000000000000.0,1350008.3333333333,2295096.1309296684,25.0,4000000.0,2000000.0,0.0,2000000.0,2000000.0,4000000.0,4000000000000.0,5.0,0.0,5.0,5.0,1001000.0,1412799.348810722,2000.0,2000000.0,"['partsupp', 'supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,4000000.0,50000.0,15.214233611903175
Job0v4,5GB,11.0,11683562.272727273,12168190.185680596,1.0,1.0,7500000.0,22499846.25,29999795.0,-1.7203325426300313,0.20622157308607378,0.754,0.02,1.0,38499795.0,2.249984625e+20,12833265.0,15217746.685389234,1000000.0,29999795.0,22499846.25,0.0,22499846.25,22499846.25,44999692.5,506243081273639.06,3.0,0.0,3.0,3.0,11259923.125,15895651.723405981,20000.0,22499846.25,"['part', 'lineitem', 'orders']",0.0,29999795.0,0.0,7500000.0,1000000.0,0.0,0.0,17.46616347456851
Job100v0,5GB,8.0,8649038.5,13416757.13086022,1.0,1.0,846357.4999999987,29999795.0,29999795.0,-0.7824310200942319,1.0467293045101638,0.6752317777777778,0.025695333333333,1.0,37499795.0,224998462500000.0,18749897.5,15909757.619807176,7500000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,1500000.0,0.0,1500000.0,1500000.0,192714.9999999975,0.0,192714.9999999975,192714.9999999975,"['orders', 'lineitem']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.43984602425903
Job100v1,5GB,8.0,101189.12499999994,262503.0676574153,1.0,1.0,15.0,245817.99999999968,750000.0,3.1127793291760018,2.256056808950353,0.6798844444444443,0.039653333333333006,1.0,750025.0,18750000.0,375012.5,530312.408220381,25.0,750000.0,29739.999999999756,0.0,29739.999999999756,29739.999999999756,29739.999999999756,29739.999999999756,5.0,0.0,5.0,5.0,29739.999999999756,0.0,29739.999999999756,29739.999999999756,"['customer', 'nation']",750000.0,0.0,25.0,0.0,0.0,0.0,0.0,13.527861818290283
Job100v2,5GB,8.0,756253.5,1384977.8312062821,1.0,1.0,25012.5,1899999.9999999995,4000000.0,1.9819945905547307,1.8440109146939656,0.75,0.25,1.0,4050000.0,200000000000.0,2025000.0,2793071.7856868627,50000.0,4000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,25.0,0.0,25.0,25.0,1000000.0,0.0,1000000.0,1000000.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,4000000.0,50000.0,15.214227439082721
Job100v3,5GB,8.0,7843699.125,13685753.658332067,1.0,1.0,625000.0,29999795.0,29999795.0,-0.6709693970693045,1.1493409076292571,0.75,0.25,1.0,30999795.0,29999795000000.0,15499897.5,20505951.697519735,1000000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,1500000.0,0.0,1500000.0,1500000.0,250000.0,0.0,250000.0,250000.0,"['part', 'lineitem']",0.0,29999795.0,0.0,0.0,1000000.0,0.0,0.0,17.249491149524328
Job100v4,5GB,8.0,7506450.0,13883204.50484841,1.0,1.0,1003.5,29999795.0,29999795.0,-0.6666707335958484,1.1546952707254892,0.68,0.04,1.0,30049795.0,1499989750000.0,15024897.5,21177703.139646955,50000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,7.0,0.0,7.0,7.0,2000.0,0.0,2000.0,2000.0,"['supplier', 'lineitem']",0.0,29999795.0,0.0,0.0,0.0,0.0,50000.0,17.218366396958828
